date,description,amount,type,confidence,raw
2026-05-24,PAYMENT - THANK YOU,-2016.22,credit,ok,"24 MAY 24 MAY PAYMENT - THANK YOU 2,016.22CR"
2026-05-04,GP XLL MALAHOTPOT KUALA LUMPUR,-6.3,debit,ok,04 MAY 03 MAY GP XLL MALAHOTPOT KUALA LUMPUR 6.30
2026-05-08,GP MCDONALD'S-SHELL TMN D KUALA LUMPUR,-7.0,debit,ok,08 MAY 07 MAY GP MCDONALD'S-SHELL TMN D KUALA LUMPUR 7.00
2026-05-10,THAI GENG-SS2 PETALING JAYA MY,-204.15,debit,ok,10 MAY 07 MAY THAI GENG-SS2 PETALING JAYA MY 204.15
2026-05-10,CHEMOR EAST OCEAN REST CHEMOR MY,-141.2,debit,ok,10 MAY 09 MAY CHEMOR EAST OCEAN REST CHEMOR MY 141.20
2026-05-10,PETRON KANTHAN (F1) CHEMOR MY,-99.01,debit,ok,10 MAY 09 MAY PETRON KANTHAN (F1) CHEMOR MY 99.01
2026-05-10,GP 65 ONDO SDN BHD (LAGEN KEDAH,-21.9,debit,ok,10 MAY 09 MAY GP 65 ONDO SDN BHD (LAGEN KEDAH 21.90
2026-05-11,NYONYA BABA DELIGHTS GEORGETOWN MY,-65.0,debit,ok,11 MAY 10 MAY NYONYA BABA DELIGHTS GEORGETOWN MY 65.00
2026-05-11,PETRON SG BAKAP LAYBY SIMPANG AMPAT MY,-63.79,debit,ok,11 MAY 10 MAY PETRON SG BAKAP LAYBY SIMPANG AMPAT MY 63.79
2026-05-13,GREATEASTERN1031508066 KUALA LUMPUR MY,-305.0,debit,ok,13 MAY 12 MAY GREATEASTERN1031508066 KUALA LUMPUR MY 305.00
2026-05-15,GRAB RIDES-EC PETALING JAYA MY,-46.16,debit,ok,15 MAY 14 MAY GRAB RIDES-EC PETALING JAYA MY 46.16
2026-05-15,GRAB RIDES-EC PETALING JAYA MY,-3.5,debit,ok,15 MAY 14 MAY GRAB RIDES-EC PETALING JAYA MY 3.50
